,patch,gameid,result,date,side,firstPick,top,jng,mid,bot,sup,ban1,ban2,ban3,ban4,ban5,opp_top,opp_jng,opp_mid,opp_bot,opp_sup
32,16.4,NA1_5495970891,1,,Blue,1,Rumble,Graves,Twisted Fate,Senna,Thresh,Sona,Naafiri,Gwen,Nasus,Fiddlesticks,Teemo,Xin Zhao,Taliyah,Aphelios,Braum
33,16.4,NA1_5495970891,0,,Red,0,Teemo,Xin Zhao,Taliyah,Aphelios,Braum,Syndra,Rengar,Sion,Katarina,Nautilus,Rumble,Graves,Twisted Fate,Senna,Thresh
34,16.4,NA1_5495847821,1,,Blue,1,Irelia,Nidalee,Kled,Pyke,Alistar,Fiora,Gwen,Sylas,Azir,Braum,Gnar,Jayce,Katarina,Kai'Sa,Bard
35,16.4,NA1_5495847821,0,,Red,0,Gnar,Jayce,Katarina,Kai'Sa,Bard,Yunara,Graves,Riven,Rengar,Zed,Irelia,Nidalee,Kled,Pyke,Alistar
36,16.3,NA1_5494505221,0,,Blue,1,Malphite,Viego,Syndra,Ezreal,Pyke,Mel,Rengar,Ambessa,Zed,Caitlyn,Sylas,Jayce,Ryze,Miss Fortune,Nautilus
37,16.3,NA1_5494505221,1,,Red,0,Sylas,Jayce,Ryze,Miss Fortune,Nautilus,Ambessa,Akshan,Rengar,Gwen,Kha'Zix,Malphite,Viego,Syndra,Ezreal,Pyke
38,16.4,NA1_5500296099,1,,Blue,1,Jayce,Graves,Quinn,Hwei,Lux,Poppy,Nunu & Willump,Akshan,Sivir,Rengar,Kennen,Pantheon,Vex,Ezreal,Bard
39,16.4,NA1_5500296099,0,,Red,0,Kennen,Pantheon,Vex,Ezreal,Bard,Sona,Riven,Vayne,Zoe,Bel'Veth,Jayce,Graves,Quinn,Hwei,Lux
40,16.3,NA1_5495342938,1,,Blue,1,Jayce,Talon,Anivia,Mel,Pyke,Sivir,Malzahar,Rengar,Riven,Kha'Zix,Lucian,Nocturne,Zoe,Yunara,Nami
41,16.3,NA1_5495342938,0,,Red,0,Lucian,Nocturne,Zoe,Yunara,Nami,Draven,Akshan,Rumble,Poppy,Ambessa,Jayce,Talon,Anivia,Mel,Pyke
42,16.3,NA1_5494402785,0,,Blue,1,Jax,Kha'Zix,Swain,Draven,Janna,Braum,Sylas,Nautilus,Fiddlesticks,Gwen,Garen,Ambessa,Orianna,Aphelios,Milio
43,16.3,NA1_5494402785,1,,Red,0,Garen,Ambessa,Orianna,Aphelios,Milio,Rengar,Qiyana,Sona,Blitzcrank,Aurora,Jax,Kha'Zix,Swain,Draven,Janna
44,16.3,NA1_5494476662,1,,Blue,1,Sion,Kha'Zix,Syndra,Yunara,Heimerdinger,Yasuo,Gwen,Zed,Nunu & Willump,Fiddlesticks,Irelia,Master Yi,Mel,Lux,Zoe
45,16.3,NA1_5494476662,0,,Red,0,Irelia,Master Yi,Mel,Lux,Zoe,Pyke,Twitch,LeBlanc,Zaahen,Ambessa,Sion,Kha'Zix,Syndra,Yunara,Heimerdinger
46,16.4,NA1_5500224534,0,,Blue,1,Gwen,Qiyana,Ryze,Yunara,Leona,Rengar,Jayce,Akali,,Ambessa,Graves,Gragas,Talon,Yasuo,Thresh
47,16.4,NA1_5500224534,1,,Red,0,Graves,Gragas,Talon,Yasuo,Thresh,Alistar,Nunu & Willump,Pyke,Poppy,Jayce,Gwen,Qiyana,Ryze,Yunara,Leona
48,16.4,NA1_5495859318,1,,Blue,1,Jax,Jayce,Katarina,Pyke,Alistar,Sylas,Braum,Gwen,Fiddlesticks,Zed,Kennen,Ambessa,Aurora,Ezreal,Bard
49,16.4,NA1_5495859318,0,,Red,0,Kennen,Ambessa,Aurora,Ezreal,Bard,Riven,Rengar,Fiddlesticks,Yunara,Graves,Jax,Jayce,Katarina,Pyke,Alistar
50,16.4,NA1_5503509386,0,,Blue,1,Ambessa,Diana,Akshan,Zeri,Poppy,Mel,Kindred,Renekton,Malphite,Rengar,Irelia,Wukong,Riven,Ziggs,Nautilus
51,16.4,NA1_5503509386,1,,Red,0,Irelia,Wukong,Riven,Ziggs,Nautilus,Aurora,Draven,Azir,Tristana,Zac,Ambessa,Diana,Akshan,Zeri,Poppy
52,16.3,NA1_5492926317,1,,Blue,1,Rumble,Rengar,Ahri,Senna,Rakan,Akali,Lux,Poppy,Gangplank,Pyke,Jayce,Rammus,Twisted Fate,Caitlyn,Anivia
53,16.3,NA1_5492926317,0,,Red,0,Jayce,Rammus,Twisted Fate,Caitlyn,Anivia,Ambessa,Varus,Nunu & Willump,,Katarina,Rumble,Rengar,Ahri,Senna,Rakan
54,16.4,NA1_5503547729,0,,Blue,1,K'Sante,Vi,Ahri,Sivir,Yuumi,Pyke,Blitzcrank,Draven,Graves,Riven,Gnar,Shaco,Lucian,Aurelion Sol,Leona
55,16.4,NA1_5503547729,1,,Red,0,Gnar,Shaco,Lucian,Aurelion Sol,Leona,Zac,Rengar,Azir,Ambessa,Zoe,K'Sante,Vi,Ahri,Sivir,Yuumi
56,16.4,NA1_5500398310,1,,Blue,1,Vayne,Gragas,Viktor,Yunara,Lulu,Fiddlesticks,Heimerdinger,Garen,Poppy,Akshan,Urgot,Xin Zhao,Orianna,Xayah,Rakan
57,16.4,NA1_5500398310,0,,Red,0,Urgot,Xin Zhao,Orianna,Xayah,Rakan,Blitzcrank,Fiora,Rengar,Graves,Lux,Vayne,Gragas,Viktor,Yunara,Lulu
58,16.3,NA1_5495521224,1,,Blue,1,Lee Sin,Qiyana,Akali,Yasuo,Sona,,Riven,Aurora,Yuumi,Rengar,Renekton,Hecarim,Ryze,Lucian,Nami
59,16.3,NA1_5495521224,0,,Red,0,Renekton,Hecarim,Ryze,Lucian,Nami,Nautilus,Kled,Akshan,Orianna,Ambessa,Lee Sin,Qiyana,Akali,Yasuo,Sona
60,16.4,NA1_5495943046,1,,Blue,1,Kennen,Graves,Nasus,Ezreal,Morgana,Kindred,Ambessa,Sona,Riven,Anivia,Jax,Taliyah,Yasuo,Seraphine,Soraka
61,16.4,NA1_5495943046,0,,Red,0,Jax,Taliyah,Yasuo,Seraphine,Soraka,Rumble,Gwen,Pyke,Rengar,Sivir,Kennen,Graves,Nasus,Ezreal,Morgana
62,16.4,NA1_5495896828,1,,Blue,1,Aatrox,Lee Sin,Zoe,Ezreal,Nami,,Draven,Akshan,Rengar,Pyke,Irelia,Jayce,Orianna,Qiyana,Alistar
63,16.4,NA1_5495896828,0,,Red,0,Irelia,Jayce,Orianna,Qiyana,Alistar,Ambessa,Vladimir,Sylas,Braum,Fiddlesticks,Aatrox,Lee Sin,Zoe,Ezreal,Nami
64,16.3,NA1_5495300534,0,,Blue,1,Ambessa,Hecarim,Cassiopeia,Ezreal,Dr. Mundo,Viktor,Rengar,Bel'Veth,Akali,Riven,Kayle,Draven,Zed,Ashe,Swain
65,16.3,NA1_5495300534,1,,Red,0,Kayle,Draven,Zed,Ashe,Swain,LeBlanc,,Sylas,Poppy,Rumble,Ambessa,Hecarim,Cassiopeia,Ezreal,Dr. Mundo
66,16.3,NA1_5492765125,1,,Blue,1,Riven,Kha'Zix,Orianna,Jinx,Thresh,Rengar,Nunu & Willump,Pyke,Swain,Draven,Jayce,Ivern,Viktor,Kai'Sa,Blitzcrank
67,16.3,NA1_5492765125,0,,Red,0,Jayce,Ivern,Viktor,Kai'Sa,Blitzcrank,Fiddlesticks,Draven,Neeko,Braum,Ambessa,Riven,Kha'Zix,Orianna,Jinx,Thresh
68,16.3,NA1_5494453720,1,,Blue,1,Jayce,Zed,Viktor,Ezreal,Anivia,Akali,Kha'Zix,,Sona,Nunu & Willump,Nasus,Aatrox,Zoe,Yunara,Soraka
69,16.3,NA1_5494453720,0,,Red,0,Nasus,Aatrox,Zoe,Yunara,Soraka,Jax,Rengar,Ambessa,Kindred,Riven,Jayce,Zed,Viktor,Ezreal,Anivia
70,16.4,NA1_5495871313,0,,Blue,1,Sion,Ambessa,Kai'Sa,Pyke,Alistar,Akali,Sylas,Gwen,Kha'Zix,Fiddlesticks,Singed,Jarvan IV,Lucian,Vladimir,Nami
71,16.4,NA1_5495871313,1,,Red,0,Singed,Jarvan IV,Lucian,Vladimir,Nami,Fiddlesticks,Gwen,Draven,Riven,Fiora,Sion,Ambessa,Kai'Sa,Pyke,Alistar
72,16.3,NA1_5492839993,1,,Blue,1,Riven,Nidalee,Syndra,Tristana,Lulu,Shaco,Fiddlesticks,Ambessa,Yasuo,Sona,Fiora,Xin Zhao,Aurora,Jinx,Thresh
73,16.3,NA1_5492839993,0,,Red,0,Fiora,Xin Zhao,Aurora,Jinx,Thresh,Talon,Yasuo,Twitch,Ambessa,Lux,Riven,Nidalee,Syndra,Tristana,Lulu
74,16.4,NA1_5500354460,1,,Blue,1,Shen,Rengar,Sylas,Ziggs,Karma,Tryndamere,Fiddlesticks,Sivir,Zoe,Poppy,Zaahen,Talon,Ryze,Aphelios,Pantheon
75,16.4,NA1_5500354460,0,,Red,0,Zaahen,Talon,Ryze,Aphelios,Pantheon,Malphite,Lux,Anivia,Ambessa,Bel'Veth,Shen,Rengar,Sylas,Ziggs,Karma
76,16.3,NA1_5493008236,1,,Blue,1,Rumble,Rengar,Taliyah,Ezreal,Alistar,Diana,Gangplank,Pyke,,Heimerdinger,Aurora,Lee Sin,Syndra,Kai'Sa,Elise
77,16.3,NA1_5493008236,0,,Red,0,Aurora,Lee Sin,Syndra,Kai'Sa,Elise,Sona,,Zed,Poppy,Riven,Rumble,Rengar,Taliyah,Ezreal,Alistar
78,16.4,NA1_5503536978,1,,Blue,1,Aatrox,Sylas,Riven,Corki,Morgana,Dr. Mundo,Zac,Shaco,Azir,Aurora,Mordekaiser,Ivern,Zeri,Aphelios,Rammus
79,16.4,NA1_5503536978,0,,Red,0,Mordekaiser,Ivern,Zeri,Aphelios,Rammus,Azir,Fiora,Rengar,Poppy,Blitzcrank,Aatrox,Sylas,Riven,Corki,Morgana
80,16.3,NA1_5494524249,0,,Blue,1,Irelia,Kha'Zix,Galio,Kai'Sa,Pyke,Fiddlesticks,Mel,Caitlyn,Akshan,Gwen,Corki,Rengar,Syndra,Yunara,Thresh
81,16.3,NA1_5494524249,1,,Red,0,Corki,Rengar,Syndra,Yunara,Thresh,Yasuo,Jayce,Ambessa,Riven,Caitlyn,Irelia,Kha'Zix,Galio,Kai'Sa,Pyke
82,16.3,NA1_5492818186,1,,Blue,1,Riven,Jayce,Swain,Vel'Koz,Bard,Ambessa,Sylas,Fiddlesticks,Nunu & Willump,Viktor,Kled,Shaco,Xerath,Yunara,Lulu
83,16.3,NA1_5492818186,0,,Red,0,Kled,Shaco,Xerath,Yunara,Lulu,Akali,Sona,Yasuo,Irelia,Gwen,Riven,Jayce,Swain,Vel'Koz,Bard
84,16.4,NA1_5502907509,0,,Blue,1,Darius,Graves,Syndra,Aphelios,Senna,Caitlyn,Diana,Fizz,Aatrox,Rengar,K'Sante,Jarvan IV,Aurora,Jinx,Sona
85,16.4,NA1_5502907509,1,,Red,0,K'Sante,Jarvan IV,Aurora,Jinx,Sona,Yasuo,Yorick,Mel,Master Yi,Gwen,Darius,Graves,Syndra,Aphelios,Senna
86,16.4,NA1_5503000489,0,,Blue,1,Cassiopeia,Rammus,Ahri,Aphelios,Alistar,Caitlyn,Jax,,Yasuo,Viego,Ryze,Xin Zhao,Sylas,Ashe,Nami
87,16.4,NA1_5503000489,1,,Red,0,Ryze,Xin Zhao,Sylas,Ashe,Nami,Kayn,Vladimir,Blitzcrank,Naafiri,Yasuo,Cassiopeia,Rammus,Ahri,Aphelios,Alistar
88,16.4,NA1_5499959604,0,,Blue,1,Quinn,Graves,Aurora,Jinx,Nautilus,Nilah,Draven,Zoe,Malphite,Vayne,Tristana,Xin Zhao,Lux,Varus,Sona
89,16.4,NA1_5499959604,1,,Red,0,Tristana,Xin Zhao,Lux,Varus,Sona,Lee Sin,Blitzcrank,Aatrox,Yasuo,Sivir,Quinn,Graves,Aurora,Jinx,Nautilus
90,16.4,NA1_5500062256,0,,Blue,1,Gnar,Jarvan IV,Orianna,Jhin,Nami,Kayn,Pyke,Malphite,Swain,Yasuo,Zaahen,Kha'Zix,Hwei,Caitlyn,Lux
91,16.4,NA1_5500062256,1,,Red,0,Zaahen,Kha'Zix,Hwei,Caitlyn,Lux,Varus,Kassadin,Syndra,Leona,Shaco,Gnar,Jarvan IV,Orianna,Jhin,Nami
92,16.4,NA1_5500178733,0,,Blue,1,Illaoi,Hecarim,Hwei,Miss Fortune,Tahm Kench,Rengar,Yasuo,Syndra,Kha'Zix,Mordekaiser,Garen,Zaahen,Malzahar,Caitlyn,Nautilus
93,16.4,NA1_5500178733,1,,Red,0,Garen,Zaahen,Malzahar,Caitlyn,Nautilus,Rengar,Zed,Fiora,Kha'Zix,Braum,Illaoi,Hecarim,Hwei,Miss Fortune,Tahm Kench
94,16.4,NA1_5501374356,1,,Blue,1,Garen,Rengar,Syndra,Zeri,Sylas,Katarina,Briar,Jhin,Jayce,Blitzcrank,Fiora,Zac,Pantheon,Miss Fortune,Nautilus
95,16.4,NA1_5501374356,0,,Red,0,Fiora,Zac,Pantheon,Miss Fortune,Nautilus,Aphelios,Nasus,Fiddlesticks,Ahri,Ekko,Garen,Rengar,Syndra,Zeri,Sylas
96,16.4,NA1_5502678698,0,,Blue,1,Mordekaiser,Qiyana,Viktor,Xayah,Bard,Shaco,Aphelios,Zed,Karma,Vladimir,Cho'Gath,Udyr,Veigar,Ashe,Pyke
97,16.4,NA1_5502678698,1,,Red,0,Cho'Gath,Udyr,Veigar,Ashe,Pyke,Nautilus,Malphite,Gwen,Shaco,Katarina,Mordekaiser,Qiyana,Viktor,Xayah,Bard
98,16.4,NA1_5500329917,1,,Blue,1,Ornn,Ambessa,Akali,Jhin,Sona,Gangplank,Vladimir,Camille,Leona,Master Yi,Nasus,Sylas,Irelia,Jinx,Pyke
99,16.4,NA1_5500329917,0,,Red,0,Nasus,Sylas,Irelia,Jinx,Pyke,Malphite,Samira,Sion,,Rengar,Ornn,Ambessa,Akali,Jhin,Sona
100,16.4,NA1_5501426737,1,,Blue,1,Yone,Amumu,Tryndamere,Varus,Bard,Gwen,Zed,Blitzcrank,Kayle,,Urgot,Kha'Zix,Hwei,Ezreal,Maokai
101,16.4,NA1_5501426737,0,,Red,0,Urgot,Kha'Zix,Hwei,Ezreal,Maokai,Corki,Cho'Gath,Yunara,LeBlanc,Yorick,Yone,Amumu,Tryndamere,Varus,Bard
102,16.4,NA1_5500872174,1,,Blue,1,Zaahen,Jarvan IV,LeBlanc,Ashe,Thresh,Graves,Aphelios,Zilean,Zed,Malphite,Renekton,Ekko,Tristana,Ahri,Brand
103,16.4,NA1_5500872174,0,,Red,0,Renekton,Ekko,Tristana,Ahri,Brand,Blitzcrank,Kha'Zix,Sivir,Zed,Rumble,Zaahen,Jarvan IV,LeBlanc,Ashe,Thresh
104,16.4,NA1_5501471136,0,,Blue,1,Ornn,Viego,Hwei,Corki,Leona,Darius,Blitzcrank,Dr. Mundo,Caitlyn,Pyke,Camille,Brand,Tryndamere,Ezreal,Bard
105,16.4,NA1_5501471136,1,,Red,0,Camille,Brand,Tryndamere,Ezreal,Bard,Kayle,Blitzcrank,Zed,Yuumi,Jax,Ornn,Viego,Hwei,Corki,Leona
106,16.4,NA1_5501625183,1,,Blue,1,Mordekaiser,Viego,Lux,Jhin,Thresh,Shaco,Swain,,Ashe,Mel,Ornn,Graves,Qiyana,Smolder,Vel'Koz
107,16.4,NA1_5501625183,0,,Red,0,Ornn,Graves,Qiyana,Smolder,Vel'Koz,Varus,Rengar,Renekton,Yuumi,LeBlanc,Mordekaiser,Viego,Lux,Jhin,Thresh
108,16.4,NA1_5501664761,0,,Blue,1,Renekton,Shaco,Cassiopeia,Jhin,Pantheon,Blitzcrank,Fiddlesticks,,,Rengar,Urgot,Diana,Yone,Kai'Sa,Karma
109,16.4,NA1_5501664761,1,,Red,0,Urgot,Diana,Yone,Kai'Sa,Karma,Smolder,Varus,Viego,,Rengar,Renekton,Shaco,Cassiopeia,Jhin,Pantheon
110,16.4,NA1_5501390954,0,,Blue,1,Sett,Viego,Katarina,Aphelios,Bard,Kha'Zix,Blitzcrank,Kennen,Caitlyn,Yasuo,Vladimir,Master Yi,Ahri,Kai'Sa,Rell
111,16.4,NA1_5501390954,1,,Red,0,Vladimir,Master Yi,Ahri,Kai'Sa,Rell,Nilah,Janna,,Pantheon,Caitlyn,Sett,Viego,Katarina,Aphelios,Bard
112,16.4,NA1_5503898357,0,,Blue,1,Gragas,Hecarim,Yasuo,Yunara,Karma,Caitlyn,Nilah,Blitzcrank,Nunu & Willump,,Sylas,Shyvana,Sett,Aphelios,Janna
113,16.4,NA1_5503898357,1,,Red,0,Sylas,Shyvana,Sett,Aphelios,Janna,Caitlyn,Jax,Master Yi,Nami,Nasus,Gragas,Hecarim,Yasuo,Yunara,Karma
114,16.4,NA1_5502877220,0,,Blue,1,Ornn,Nunu & Willump,Zed,Aphelios,Milio,Fiora,Vayne,Yasuo,Akshan,Kha'Zix,Aatrox,Graves,Lux,Jhin,Elise
115,16.4,NA1_5502877220,1,,Red,0,Aatrox,Graves,Lux,Jhin,Elise,Fizz,Irelia,Zaahen,Caitlyn,Shaco,Ornn,Nunu & Willump,Zed,Aphelios,Milio
116,16.4,NA1_5502860484,1,,Blue,1,Zaahen,Hecarim,Aurora,Ashe,Vel'Koz,Garen,Sona,Viktor,Pyke,Nautilus,Ornn,Kayn,Mel,Aphelios,Lulu
117,16.4,NA1_5502860484,0,,Red,0,Ornn,Kayn,Mel,Aphelios,Lulu,Draven,Viego,Ambessa,Malphite,Caitlyn,Zaahen,Hecarim,Aurora,Ashe,Vel'Koz
118,16.4,NA1_5502742009,0,,Blue,1,Yone,Trundle,Swain,Sivir,Orianna,Zed,Nilah,Veigar,Jax,Mel,Garen,Ivern,Zoe,Aphelios,Elise
119,16.4,NA1_5502742009,1,,Red,0,Garen,Ivern,Zoe,Aphelios,Elise,Zaahen,Yasuo,Caitlyn,,Kayle,Yone,Trundle,Swain,Sivir,Orianna
120,16.4,NA1_5500098697,1,,Blue,1,Malphite,Volibear,Ahri,Aphelios,Nami,Diana,Jax,Aurelion Sol,Vladimir,Blitzcrank,Pantheon,Rengar,Hwei,Kai'Sa,Ashe
121,16.4,NA1_5500098697,0,,Red,0,Pantheon,Rengar,Hwei,Kai'Sa,Ashe,Xayah,Zaahen,Pyke,Syndra,Kindred,Malphite,Volibear,Ahri,Aphelios,Nami
122,16.4,NA1_5500384665,1,,Blue,1,Zaahen,Rengar,Viktor,Vladimir,Soraka,Zed,Ashe,Yuumi,Renekton,Wukong,Camille,Xin Zhao,Malzahar,Kog'Maw,Milio
123,16.4,NA1_5500384665,0,,Red,0,Camille,Xin Zhao,Malzahar,Kog'Maw,Milio,Caitlyn,,Master Yi,Diana,,Zaahen,Rengar,Viktor,Vladimir,Soraka
124,16.4,NA1_5504478410,1,,Blue,1,Nasus,Nocturne,Lissandra,Corki,Sona,Karma,,Pyke,Malphite,Akali,Gragas,Lee Sin,Orianna,Jinx,Braum
125,16.4,NA1_5504478410,0,,Red,0,Gragas,Lee Sin,Orianna,Jinx,Braum,Fiddlesticks,Master Yi,Nami,Caitlyn,Syndra,Nasus,Nocturne,Lissandra,Corki,Sona
126,16.4,NA1_5501593113,0,,Blue,1,Dr. Mundo,Amumu,Yasuo,Mel,Brand,Teemo,Gwen,Blitzcrank,Vayne,Malphite,Renekton,Evelynn,Malzahar,Ezreal,Milio
127,16.4,NA1_5501593113,1,,Red,0,Renekton,Evelynn,Malzahar,Ezreal,Milio,Malphite,Kayn,Ziggs,Varus,Kha'Zix,Dr. Mundo,Amumu,Yasuo,Mel,Brand
128,16.4,NA1_5502884906,0,,Blue,1,Mordekaiser,Master Yi,Qiyana,Syndra,Tahm Kench,Rengar,Kled,LeBlanc,Mel,Graves,Sett,Shen,Twisted Fate,Corki,Senna
129,16.4,NA1_5502884906,1,,Red,0,Sett,Shen,Twisted Fate,Corki,Senna,Blitzcrank,Caitlyn,Yasuo,Thresh,Kindred,Mordekaiser,Master Yi,Qiyana,Syndra,Tahm Kench
130,16.4,NA1_5500252938,0,,Blue,1,K'Sante,Ambessa,Zed,Corki,Poppy,Syndra,Twitch,Shen,Smolder,Mel,Aatrox,Udyr,Kog'Maw,Sivir,Leona
131,16.4,NA1_5500252938,1,,Red,0,Aatrox,Udyr,Kog'Maw,Sivir,Leona,Morgana,Draven,Vladimir,Taric,Yorick,K'Sante,Ambessa,Zed,Corki,Poppy
132,16.4,NA1_5497164607,1,,Blue,1,Jax,Talon,Diana,Sivir,Janna,Mel,Rengar,Kindred,Pyke,Zed,Renekton,Zaahen,Lux,Hwei,Vel'Koz
133,16.4,NA1_5497164607,0,,Red,0,Renekton,Zaahen,Lux,Hwei,Vel'Koz,Kennen,Akshan,Dr. Mundo,Gwen,Yunara,Jax,Talon,Diana,Sivir,Janna
134,16.4,NA1_5501352514,1,,Blue,1,Ivern,Lillia,Irelia,Jinx,Bard,Blitzcrank,Volibear,Nasus,Ambessa,Aurora,Renekton,Gwen,Akali,Yunara,Sona
